"CTDID","Region","Year","Mission","Location","Latitude","Longitude","SiteID","ESTDate","UTCDate","EST.Time","UTCTime","Sample_Depth_m","DIC","TA","pH","pCO2","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID.1","Survey_design","Sample_frequency","Date","Season","Precipitation","Month","BestSalinity","TA_0","DIC_0","nTA","nDIC"
"calval_mar2012","FLK",2012,"CalVal","FLK",24.8982666666667,-80.6173833333333,"CalVal_N","3/23/2012","3/23/2012","12:40:00 PM","04:40:00 PM",0,2037.46,2379.61,8.108,345.5,3.88,NA,NA,34.71,24.8,0,NA,"CalVal_N","Permanent","Single",2020-03-23,"Spring","Dry","March",34.71,2807.04635599769,3276.96121148288,2376.03879449037,2027.10404058398
"calval_mar2012","FLK",2012,"CalVal","FLK",NA,NA,"ADCP_S","3/23/2012","3/23/2012","01:02:00 PM","05:02:00 PM",0,2015.78,2366.11,8.12,331.4,3.97,NA,NA,34.61,25.05,0,NA,"ADCP_S","Permanent","Single",2020-03-23,"Spring","Dry","March",34.61,2807.04635599769,3276.96121148288,2361.14134415374,2001.56848100323
"calval_mar2012","FLK",2012,"CalVal","FLK",24.8955833333333,-80.6166333333333,"CalVal_S","3/23/2012","3/23/2012","01:16:00 PM","05:16:00 PM",0,2024.92,2373.16,8.114,338.6,3.95,NA,NA,34.6,25.2,0,NA,"CalVal_S","Permanent","Single",2020-03-23,"Spring","Dry","March",34.6,2807.04635599769,3276.96121148288,2368.14397276303,2010.44553512737
"calval_mar2012","FLK",2012,"CalVal","FLK",24.8966333333333,-80.6153,"CalVal_SE","3/23/2012","3/23/2012","01:32:00 PM","05:32:00 PM",0,2039.81,2373.26,8.089,364.2,3.81,NA,NA,34.52,25.41,0,NA,"CalVal_SE","Permanent","Single",2020-03-23,"Spring","Dry","March",34.52,2807.04635599769,3276.96121148288,2367.22820825959,2022.60743390754
"calval_mar2012","FLK",2012,"CalVal","FLK",NA,NA,"ADCP_N","3/23/2012","3/23/2012","01:45:00 PM","05:45:00 PM",0,2026.46,2372.81,8.112,340.5,3.93,NA,NA,34.64,25.11,0,NA,"ADCP_N","Permanent","Single",2020-03-23,"Spring","Dry","March",34.64,2807.04635599769,3276.96121148288,2368.29715103467,2013.46402897997
"calval_mar2012","FLK",2012,"CalVal","FLK",NA,NA,"ADCP_N","3/23/2012","3/23/2012","01:57:00 PM","05:57:00 PM",0,2001.39,2365.26,8.141,311.7,4.1,NA,NA,34.67,25,0,NA,"ADCP_N","Permanent","Single",2020-03-23,"Spring","Dry","March",34.67,2807.04635599769,3276.96121148288,2361.05493805944,1989.24871070697
"calval_apr2012","FLK",2012,"CalVal","FLK",NA,NA,"ADCP_S","4/4/2012","4/4/2012","08:44:00 AM","12:44:00 PM",0,1990.75,2370.91,8.137,312.4,4.26,NA,NA,35.54,26.11,0,NA,"ADCP_S","Permanent","Single",2020-04-04,"Spring","Dry","April",35.54,2807.04635599769,3276.96121148288,2377.53672009676,2010.29288278561
"calval_apr2012","FLK",2012,"CalVal","FLK",24.8955833333333,-80.6166333333333,"CalVal_S","4/4/2012","4/4/2012","08:58:00 AM","12:58:00 PM",0,1976.35,2370.06,8.154,296.2,4.4,NA,NA,35.63,26.2,0,NA,"CalVal_S","Permanent","Single",2020-04-04,"Spring","Dry","April",35.63,2807.04635599769,3276.96121148288,2377.78667427108,1999.34705481993
"calval_apr2012","FLK",2012,"CalVal","FLK",24.8966333333333,-80.6153,"CalVal_SE","4/4/2012","4/4/2012","09:09:00 AM","01:09:00 PM",0,1976.2,2363.61,8.146,302,4.32,NA,NA,35.7,26.11,0,NA,"CalVal_SE","Permanent","Single",2020-04-04,"Spring","Dry","April",35.7,2807.04635599769,3276.96121148288,2372.30483050976,2001.70512179378
"calval_apr2012","FLK",2012,"CalVal","FLK",NA,NA,"ADCP_N","4/4/2012","4/4/2012","09:21:00 AM","01:21:00 PM",0,1973.45,2361.61,8.145,302.3,4.33,NA,NA,35.77,26.22,0,NA,"ADCP_N","Permanent","Single",2020-04-04,"Spring","Dry","April",35.77,2807.04635599769,3276.96121148288,2371.19864954202,2001.50992823153
